Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,Tech Prep Solutions,S.H.A.R.C Community Center,"$950,000 ",Clarke,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", IL,Chicago Urban League,Chicago STEM Expansion Project for Youth,"$450,000 ",Davis (IL),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", PA,Montgomery County Community College,The Challenger Learning Center at Montco Pottstown,"$500,000 ",Dean,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", MD,Chinese American Parent Association of Howard County (CAPA),STEM Forward,"$1,031,000 ",Elfreth,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", TX,Alief Independent School District,Alief ISDRice University Planetary and Space Exploration Education Project,"$1,031,000 ",Fletcher,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", FL,Brevard Public Schools,Space Coast Jr/Sr High School’s New Aviation Assembly and Fabrication Program,"$2,017,135 ",Haridopolos,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CT,"Talcott Mountain Science Center for Student Involvement, Inc.",Talcott Mountain Science Center for Destination for Astrophysics & Data Science Education,"$1,031,000 ",Hayes,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", PR,Vimenti,Vimenti Next Generation STEM Learning Lab Accelerator,"$1,031,000 ",Hernandez,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CT,Stamford Museum & Nature Center,Planetarium & Astronomy Center,"$480,000 ",Himes,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", TX,The Texas A&M Engineering Experiment Station,Texas A&M Engineering Academy at Dallas College,"$1,031,000 ",Johnson (TX),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", TX,Texas A&M Health Science Center,Aerospace Health Education and Workforce Development,"$1,790,000 ",McCaul,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", MD,Frostburg State University,Frostburg State University Planetarium,"$1,031,000 ",McClain Delaney,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", KY,Boys & Girls Clubs of Kentuckiana,Ultimate Afterschool Exploration Program,"$300,000 ",McGarvey,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NJ,United Community Corporation,Youth STEM Innovation and Exploration Program,"$1,000,000 ",McIver,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,Research Foundation of CUNY,STEM Improvement in Schools Through Authentic Research Projects,"$1,031,000 ",Meeks,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,New York Hall of Science,Join Artemis: Head to the Moon with the New York Hall of Science,"$1,031,000 ",Meng,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,The Boys’ Club of New York,The Boys’ Club of New York’s STEM Programming,"$225,000 ",Meng,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", OH,Case Western Reserve University,Next Generation Microgravity Research,"$2,000,000 ",Miller (OH),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,"New York Sun Works, Inc.",STEM through Hydroponic Farming Program,"$525,000 ",Ocasio-Cortez,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NY,Queens Borough Public Library,Design Your Habitat,"$253,000 ",Ocasio-Cortez,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CO,Colorado Division of Fire Prevention and Control,Advancing Colorado Wildfire Preparedness and Response,"$1,031,000 ",Pettersen,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", WI,"Innovation Center Stoughton, Inc.",Innovation Center Stoughton Youth and Young Adult STEM Education project,"$500,000 ",Pocan,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", KY,Morehead State University,Morehead State University Payload Operations Center,"$7,540,000 ",Rogers (KY),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", LA,Louisiana State University,Advancing Manufacturing in Space,"$5,000,000 ",Scalise,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", WA,Congolese Integration Network,STEM Education in South King County,"$1,031,000 ",Smith (WA),
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CA,Livermore Valley Joint Unified School District,LVJUSD INVEST: Initiating New and Vital Enrichment and Engagement for STEM Teachers,"$329,000 ",Swalwell,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", NV,Board of Regents on behalf of the Nevada System of Higher Education,Mitigating Wildfire Smoke Impacts in Nevada,"$1,031,000 ",Titus,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CA,The Regents of the University of California; University of California San Diego,Discover UC San Diego,"$1,031,000 ",Vargas,
National Aeronautics and Space Administration,"Safety, Security, and Mission Services", CA,Partnership for Los Angeles Schools,INVEST IN AMERICA’S FUTURE: Expand Math Excellence & STEM Access,"$600,000 ",Waters,
Department of Justice,OJP Byrne, NC,Center for Employment Opportunities,Job Training & Career Pathways for North Carolina’s Returning Citizens,"$250,000 ",Adams,
Department of Justice,OJP Byrne,NC,My Brother’s Keeper Charlotte-Mecklenburg,Youth Impact Office,"$200,000 ",Adams,
Department of Justice,OJP Byrne,NC,"The Center for Community Transitions, Inc. (CCT)",Second Chance Employment & In-Custody Behavioral Health Support,"$700,000 ",Adams,
Department of Justice,OJP Byrne,RI,Family Service of Rhode Island,Police GO TEAM Enhancement and Expansion,"$450,000 ",Amo,
Department of Justice,OJP Byrne, RI,Lincoln Police Department,Lincoln Police Department Tasers and Virtual Reality Training Project,"$303,000 ",Amo,
