Agency,Account,State,Recipent,Project,Amount,Requested by,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AL,City of Guntersville  ,Sanitary Sewer Improvements,"$2,174,898.00 ",Aderholt,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,San Bernardino County ,Bloomington Septic Conversion Project,"$1,092,000.00 ",Aguilar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Cucamonga Valley Water District ,Baseline Waterline Improvement Project,"$1,092,000.00 ",Aguilar,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,West Valley Water District ,Cybersecurity and Water Reliability Project,"$1,092,000.00 ",Aguilar,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,RI,Town of Middletown ,Sewer System Reconfiguration,"$1,092,000.00 ",Amo,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,RI,Town of North Providence ,Sewer Lining Project,"$343,413.00 ",Amo,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,RI,City of Newport ,Reducing Lead in Drinking Water Project,"$1,092,000.00 ",Amo,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NV,Reno-Sparks Indian Colony ,Wastewater Treatment Facility Design and Engineering,"$2,224,000.00 ",Amodei,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NV,City of Fernley ,Water Treatment Plant Upgrade,"$2,000,000.00 ",Amodei,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NV,City of West Wendover ,Water Transmission System Pipeline Replacement,"$2,000,000.00 ",Amodei,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NV,Lyon County ,Sewer Rehabilitation Project,"$1,937,766.00 ",Amodei,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NV,City of Elko ,Water Storage Tank Reconstruction,"$2,000,000.00 ",Amodei,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,NV,Gardnerville Ranchos General Improvement District ,Pipeline Replacement Project,"$2,000,000.00 ",Amodei,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,AZ,City of Tolleson ,Wastewater Digester Project,"$1,092,000.00 ",Ansari,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Dighton ,Pump Station Project,"$350,000.00 ",Auchincloss,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Needham ,Stormwater Management Project,"$1,092,000.00 ",Auchincloss,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,MA,Town of Swansea ,Route 6 Corridor Sewer Collection Project,"$1,092,000.00 ",Auchincloss,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,City of Fall River ,Lead Service Line Replacement Project,"$1,092,000.00 ",Auchincloss,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Foxborough ,PFAS Treatment Plant,"$1,092,000.00 ",Auchincloss,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Freetown ,Water Line Extension Project,"$1,000,000.00 ",Auchincloss,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Mendon ,Water System Expansion Project,"$960,000.00 ",Auchincloss,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Plainville ,Water Treatment Plant Replacement Project,"$1,092,000.00 ",Auchincloss,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,MA,Town of Sharon ,Water Main Replacement Project,"$906,560.00 ",Auchincloss,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,TX,City of Beaumont ,Wastewater Interceptor Rehabilitation,"$1,000,000.00 ",Babin,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,NE,Sarpy County ,Sewer Extension Project,"$2,000,000.00 ",Bacon,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,City of Cambridge ,Waterline Project,"$2,000,000.00 ",Balderson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Village of Thornville ,Regional Wastewater Plant Project,"$1,000,000.00 ",Balderson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Muskingum County ,Waterline Expansion Project,"$900,000.00 ",Balderson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of Fredericktown ,Water Improvement Project,"$900,000.00 ",Balderson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Village of McConnelsville ,Sewer Line Project,"$900,000.00 ",Balderson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of Millersburg ,Waterline Project,"$400,000.00 ",Balderson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Tuscarawas County ,Water System Improvements,"$900,000.00 ",Balderson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of Stockport ,Water Treatment Plant Project,"$650,000.00 ",Balderson,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,OH,Village of New Lexington ,Waterline Project,"$650,000.00 ",Balderson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Village of Chauncey ,Sewer System Replacement Project,"$600,000.00 ",Balderson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,OH,Village of Junction City ,Wastewater Treatment Plant Upgrades,"$750,000.00 ",Balderson,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VT,City of Burlington ,South End Wastewater Storage Project,"$1,000,000.00 ",Balint,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VT,Town of Berlin ,Wastewater Treatment Project,"$1,092,000.00 ",Balint,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,VT,Town of Highgate ,Wastewater Discharge System Construction,"$750,000.00 ",Balint,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,VT,Town of Troy ,Waterline Replacement Project,"$1,040,000.00 ",Balint,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KY,Nicholas County ,Water Improvements Project,"$1,000,000.00 ",Barr,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,Clark County ,Sanitary Sewer Improvements,"$1,000,000.00 ",Barr,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,Winchester Municipal Utilities ,Sanitary Sewer Project,"$1,000,000.00 ",Barr,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,KY,City of Lancaster ,Sanitary Sewer Extension Project,"$1,000,000.00 ",Barr,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,KY,Bourbon County ,Water Tank Project,"$750,000.00 ",Barr,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,City of Republic ,Water Tank Replacement Project,"$934,965.00 ",Baumgartner,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,City of College Place ,Water Storage Project,"$1,000,000.00 ",Baumgartner,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,City of Palouse ,Wastewater Treatment Plant Improvements,"$1,000,000.00 ",Baumgartner,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,WA,City of Ritzville ,Sewer Collection System Improvement Project,"$750,000.00 ",Baumgartner,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,WA,Town of Springdale ,Storage Capacity Improvements,"$750,000.00 ",Baumgartner,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,AK,City of Homer ,Water Transmission Main Replacement Project,"$937,868.00 ",Begich,
Environmental Protection Agency,STAG—Clean Water State Revolving Fund,CA,Carmichael Water District ,Ranney Collector Well Screens Replacement Project,"$1,092,000.00 ",Bera,
Environmental Protection Agency,STAG—Drinking Water State Revolving Fund,CA,Sacramento County ,Arden Service Area Water Supply Project,"$1,092,000.00 ",Bera,
