Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Transportation,Grants-in-Aid for Airports,AL,City of Albertville,Airport Expansion. Albertville Regional Airport (BFZ),"$5,000,000.00 ",Aderholt,
Department of Transportation,Grants-in-Aid for Airports,AL,City of Tuscaloosa,Tuscaloosa   National   Airport   (TCL)—Airport   Terminal   Improvements.,"$8,500,000.00 ",Aderholt,
Department of Transportation,Grants-in-Aid for Airports,AL,Craig Field Airport and Industrial Authority,Craig Field Airport Improvements,"$250,000.00 ",Sewell,
Department of Transportation,Grants-in-Aid for Airports,AL,Huntsville-Madison County Airport Authority,Huntsville International Airport (HSV) West Aviation Center Porject,"$2,000,000.00 ",Strong,
Department of Transportation,Grants-in-Aid for Airports,AR,Texarkana Airport Authority,Texarkana  Regional  Airport  Taxiway-Taxilane  Construction  Rehabilitation (TXK),"$11,000,000.00 ",Westerman, Moran
Department of Transportation,Grants-in-Aid for Airports,AZ,City of Phoenix,City of Phoenix—Sky Harbor Airport Improvements,"$250,000.00 ",Ansari,
Department of Transportation,Grants-in-Aid for Airports,AZ,Cochise County,Bisbee-Douglas   International   Airport   Runway   Reconstruction Project (DUG),"$2,000,000.00 ",Ciscomani,
Department of Transportation,Grants-in-Aid for Airports,AZ,City of Phoenix,City of Phoenix—Sky Harbor Airport Improvements,"$250,000.00 ",Stanton,
Department of Transportation,Grants-in-Aid for Airports,CA,City of Palm Springs,Palm Springs International (PSP) Inline Baggage Handling System Improvement Project,"$3,000,000.00 ",Calvert,
Department of Transportation,Grants-in-Aid for Airports,CA,County of Riverside,French Valley Airport Contract Tower Project (F70),"$5,000,000.00 ",Calvert,
Department of Transportation,Grants-in-Aid for Airports,CA,City of Fresno,Fresno Airport Improvements,"$3,150,000.00 ",Costa,
Department of Transportation,Grants-in-Aid for Airports,CA,San Bernardino County,Twentynine Palms Airport Infrastructure Improvements (TNP),"$1,000,000.00 ",Obernolte,
Department of Transportation,Grants-in-Aid for Airports,CA,San Diego International Airport,Aircraft Rescue and Fire Fighting (ARFF) Station Modernization,"$250,000.00 ",Peters,
Department of Transportation,Grants-in-Aid for Airports,CO,Greeley-Weld County Airport Authority,Taxiway Bravo & Echo Stage II Construction: Greeley-Weld County Airport (GXY),"$3,500,000.00 ",Evans (CO),
Department of Transportation,Grants-in-Aid for Airports,FL,Panama City-Bay County Airport and Industrial District,Northwest  Florida  Beaches  International  (ECP)—North  Access Road,"$2,000,000.00 ",Dunn,
Department of Transportation,Grants-in-Aid for Airports,FL,City of Melbourne,Melbourne Orlando International Airport Terminal Upgrades (MLB),"$4,000,000.00 ",Haridopolos,
Department of Transportation,Grants-in-Aid for Airports,FL,Palm Beach County,North Palm Beach County General Aviation Airport Runway 14–32 Expansion (F45),"$2,000,000.00 ",Mast,
Department of Transportation,Grants-in-Aid for Airports,FL,Sanford Airport Authority,"SFB—Terminal Connector Corridor—Sanford, Fl","$1,000,000.00 ",Mills,
