Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,"Blackbird Laboratories, Inc..",The National Center to Accelerate Cures,"$3,000,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,The Maryland Center at Bowie State,Quantum Computing Breakthrough Against Cancer,"$700,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, MD,"University of Maryland, Baltimore",UM–MIND X–CHANGE,"$2,910,000.00 ",Alsobrooks, Van Hollen
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CO,University of Colorado Boulder,"Wildfire Education, Research and Training Laboratory","$1,887,000.00 ",Bennet, Hickenlooper
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CO,University of Colorado Denver,Quantum Laboratory Equipment,"$778,000.00 ",Bennet, Hickenlooper
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, CT,Naval & Maritime Consortium,Cybersecurity Readiness Initiative for the Maritime Indus-,"$689,000.00 ",Blumenthal, Murphy
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, DE,University of Delaware,Biopharmaceutical Manufacturing Equipment,"$3,604,000.00 ",Blunt Rochester, Coons
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AR,University of Arkansas at Little Rock,Integrated Nanotechnology Sciences Research,"$3,000,000.00 ",Boozman,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AR,"University of Arkansas, Fayetteville",Power Packaging Center of Excellence,"$3,500,000.00 ",Boozman,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,Alabama State University,Mechanical Engineering Degree Program,"$500,000.00 ",Britt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,Auburn University,Development of Digital Technologies,"$1,000,000.00 ",Britt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, AL,The University of Alabama,Detection and Prevention of Aquaculture Product,"$1,000,000.00 ",Britt,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,Gonzaga University,Gonzaga University Center for Materials Research,"$1,000,000.00 ",Cantwell,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,University of Washington,UW Interdisciplinary Engineering Building Equipment,"$2,000,000.00 ",Cantwell,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WA,Washington State University,WSU National Semiconductor Crystal Growth Center,"$2,000,000.00 ",Cantwell,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WV,BridgeValley Community and Tech-,Applied Energy Systems Lab for Renewable Workforce,"$800,000.00 ",Capito, Justice
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, WV,West Virginia University Research,Instrumentation for BioNano and Chemistry NMR Research,"$2,200,000.00 ",Capito, Justice
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, LA,University of New Orleans,University of New Orleans Advance Computing and Chem-,"$1,350,000.00 ",Cassidy,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, LA,Louisiana State University,Electronic Microscopy Sight,"$2,500,000.00 ",Cassidy, Kennedy
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, LA,University of Louisiana Lafayette,Semiconductor Technology Center,"$5,000,000.00 ",Cassidy, Kennedy
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, ME,Central Maine Growth Council,Maine High-Performance Computing Hub,"$6,200,000.00 ",Collins,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, ME,"Penquis C.A.P, Inc. .",3D–Printing Research and Development,"$1,270,000.00 ",Collins,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, DE,Christiana Care Health Services,Expansion of Gene Editing Learning Lab,"$500,000.00 ",Coons,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, IL,William Rainey Harper College,Harper College Quantum Workforce Education and Training,"$765,000.00 ",Duckworth,
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, PA,Juniata College,Advanced Chemistry Instrumentation for Pennsylvania Stu-,"$400,000.00 ",Fetterman, McCormick
Department of Commerce,National Institutes of Standards and Technology Science and Technical Research Services, PA,King’s College,King’s College Cybersecurity Lab,"$300,000.00 ",Fetterman, McCormick
