Agency,Account,Project Name,State, Recipient,Amount,Requested by,Requested by 2,,,,,,,,,,,,,
Army Corps of Engineers ,Construction,Alaska Regional Ports (Port of Nome Modification), AK, U.S. Army Corps of Engineers,"$38,600,000.00 ",Murkowski,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations,Auke Bay Navigation Improvements, AK, U.S. Army Corps of Engineers,"$200,000.00 ",Murkowski,,,,,,,,,,,,,,
Department of Energy,Energy Projects,Geothermal Exploration for Homer Electric Association, AK, Homer Electric Association,"$840,000.00 ",Murkowski,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Alabama River Lakes, AL, U.S. Army Corps of Engineers,"$5,025,000.00 ",Britt,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Black Warrior and Tombigbee Rivers, AL, U.S. Army Corps of Engineers,"$2,500,000.00 ",Britt,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Dauphin Island Bay, AL, U.S. Army Corps of Engineers,"$5,000,000.00 ",Britt,,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Fly Creek, AL, U.S. Army Corps of Engineers,"$1,000,000.00 ",Britt, Tuberville,,,,,,,,,,,,,
Army Corps of Engineers ,Operation and Maintenance,Gulf Intracoastal Waterway, AL, U.S. Army Corps of Engineers,"$1,066,000.00 ",Britt,,,,,,,,,,,,,,
Army Corps of Engineers ,Construction/Section 107,Osceola Harbor Extension, AR, U.S. Army Corps of Engineers,"$6,500,000.00 ",Boozman,,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Construction,Bayou Meto Basin, AR, U.S. Army Corps of Engineers,"$12,000,000.00 ",Boozman,,,,,,,,,,,,,,
Army Corps of Engineers ,Mississippi River and Tributaries/Construction,Grand Prairie Region, AR, U.S. Army Corps of Engineers,"$16,000,000.00 ",Boozman,,,,,,,,,,,,,,
Army Corps of Engineers ,Investigations/Tribal Partnership Program,AkChin Indian Community TPP, AZ, U.S. Army Corps of Engineers,"$200,000.00 ",Gallego, Kelly,,,,,,,,,,,,,
