Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Federal Emergency Management Agency,Emergency Operations Center,MD,Harford County Department of Emergency Services,Harford County Department of Emergency Services Emer- gency Operations Center Equipment Upgrade.,"$525,000.00 ",Alsobrooks, Van Hollen
Federal Emergency Management Agency,Emergency Operations Center,MD,Prince George’s County Government,Emergency Operations Center Communications Enhance- ments.,"$469,000.00 ",Alsobrooks, Van Hollen
Federal Emergency Management Agency,Predisaster Mitigation,MD,Anne Arundel County,Historic Whitehall Shoreline,"$226,000.00 ",Alsobrooks, Van Hollen
Federal Emergency Management Agency,Predisaster Mitigation,MD,Anne Arundel County,Columbia Beach Resilience Project,"$1,175,000.00 ",Alsobrooks, Van Hollen
Federal Emergency Management Agency,Emergency Operations Center,WI,UW–Whitewater Police Department,UW–Whitewater Emergency Operations Center,"$225,000.00 ",Baldwin,
Federal Emergency Management Agency,Predisaster Mitigation,WI,Iron County Forestry Department,Iron County Forestry Department—Saxon Harbor Lake Superior Shoreline Restoration Project.,"$375,000.00 ",Baldwin,
Federal Emergency Management Agency,Predisaster Mitigation,WI,Resilient Southwest Wisconsin,Southwestern WI Regional Planning Commission—Resil- ient Southwest Wisconsin.,"$150,000.00 ",Baldwin,
Federal Emergency Management Agency,Predisaster Mitigation,WI,Village of La Farge,Village of La Farge Storm Sewer Improvements,"$250,000.00 ",Baldwin,
Federal Emergency Management Agency,Emergency Operations Center,CO,City of Brighton/ Brighton Fire,City of Brighton Emergency Operations Center Software,"$15,000.00 ",Bennet, Hickenlooper
Federal Emergency Management Agency,Emergency Operations Center,CO,City of Louisville,City of Louisville Emergency Operations Center,"$100,000.00 ",Bennet, Hickenlooper
Federal Emergency Management Agency,Emergency Operations Center,CO,Colorado Department of Public Safety—Divi- sion of Homeland Security and Emergency Management,State Emergency Operations Center Technology Update,"$585,000.00 ",Bennet, Hickenlooper
Federal Emergency Management Agency,Emergency Operations Center,CO,Montezuma County,Montezuma County Emergency Operations Center,"$186,000.00 ",Bennet, Hickenlooper
Federal Emergency Management Agency,Emergency Operations Center,CT,Town of East Lyme CT Emergency Manage- ment,East Lyme EOC,"$395,000.00 ",Blumenthal, Murphy
Federal Emergency Management Agency,Predisaster Mitigation,CT,City of West Haven,Savin Rock Beach Reinforcement,"$2,479,000.00 ",Blumenthal, Murphy
Federal Emergency Management Agency,Predisaster Mitigation,CT,Town of Southington,Plantsville Center Flooding Study,"$300,000.00 ",Blumenthal, Murphy
Federal Emergency Management Agency,Predisaster Mitigation,DE,"City of Wilmington, Delaware",Lower Brandywine Flood Mitigation Project,"$1,509,000.00 ",Blunt Rochester, Coons
Federal Emergency Management Agency,Predisaster Mitigation,DE,"New Castle County, Delaware (Public Works Department)",Little Mill Creek Upper Reach Flood Control Project Major Maintenance.,"$758,000.00 ",Blunt Rochester, Coons
Federal Emergency Management Agency,Emergency Operations Center,NJ,County of Mercer,Mercer County for Emergency Operations Center Improve- ments.,"$1,875,000.00 ",Booker, Kim
Federal Emergency Management Agency,Emergency Operations Center,AL,Coosa County Emergency Management Agency,Coosa County Emergency Management Utilities Preserva- tion.,"$126,000.00 ",Britt,
Federal Emergency Management Agency,Predisaster Mitigation,AL,City of Atmore,City of Atmore Storm Drainage Improvements,"$1,250,000.00 ",Britt,
Federal Emergency Management Agency,Predisaster Mitigation,AL,City of Birmingham,Village Creek Stormwater Park Floodplain Restoration,"$2,645,000.00 ",Britt,
Federal Emergency Management Agency,Predisaster Mitigation,AL,City of Foley,Strategic Placement of City of Foley Utilities Under- ground.,"$2,063,000.00 ",Britt,
Federal Emergency Management Agency,Predisaster Mitigation,AL,City of Jasper,City of Jasper Flood Mitigation Infrastructure,"$893,000.00 ",Britt,
Federal Emergency Management Agency,Predisaster Mitigation,AL,City of Livingston,Sumter County Storm Drainage Improvements,"$3,093,000.00 ",Britt,
Federal Emergency Management Agency,Predisaster Mitigation,AL,Montgomery Area Chamber of Commerce,Washington Ferry Road Restoration,"$4,000,000.00 ",Britt,
Federal Emergency Management Agency,Predisaster Mitigation,AL,Winston County Commission,Winston County Road and Bridge Restoration,"$900,000.00 ",Britt,
Federal Emergency Management Agency,Predisaster Mitigation,WA,Sammamish Plateau Water and Sewer District,Well 9 Seismic Resiliency Water Transmission Main De- sign.,"$1,125,000.00 ",Cantwell,
Federal Emergency Management Agency,Predisaster Mitigation,WV,Beckley-Raleigh County Convention Center,Beckley-Raleigh County EOC HVAC Upgrades,"$3,206,000.00 ",Capito, Justice
Federal Emergency Management Agency,Predisaster Mitigation,WV,Town of Burnsville,Town of Burnsville Landslide Remediation Project,"$488,000.00 ",Capito, Justice
Federal Emergency Management Agency,Predisaster Mitigation,LA,Ouachita Parish Police Jury,Ouachita Parish I–20 South Frontage Road Drainage Im- provements.,"$6,000,000.00 ",Cassidy, Kennedy
Federal Emergency Management Agency,Predisaster Mitigation,ME,York County Emergency Management Agency,York County Flood Protection,"$1,762,000.00 ",Collins,
Federal Emergency Management Agency,Predisaster Mitigation,ME,Town of Southport,Hendricks Head Infrastructure Improvements,"$1,165,000.00 ",Collins,King
Federal Emergency Management Agency,Predisaster Mitigation,ME,Town of Surry,Newbury Neck Peninsula Storm Evacuation,"$2,928,000.00 ",Collins,King
Federal Emergency Management Agency,Emergency Operations Center,NV,City of Las Vegas,City of Las Vegas—Emergency Operations Upgrades,"$150,000.00 ",Cortez Masto,Rosen
Federal Emergency Management Agency,Emergency Operations Center,NV,Humboldt County,Humboldt County—Emergency Operations Center,"$500,000.00 ",Cortez Masto,Rosen
Federal Emergency Management Agency,Emergency Operations Center,NV,Lyon County,Lyon County—Emergency Backup Generators,"$375,000.00 ",Cortez Masto,Rosen
Federal Emergency Management Agency,Predisaster Mitigation,NV,Nye County,Nye County—Gamebird Road Improvements Planning and Design Project.,"$323,000.00 ",Cortez Masto,Rosen
Federal Emergency Management Agency,Predisaster Mitigation,UT,City of Holladay,City Hall Seismic Retrofit Project,"$1,650,000.00 ",Curtis,
Federal Emergency Management Agency,Predisaster Mitigation,IL,City of Rockford,Keith Creek Greenway Improvements,"$2,000,000.00 ",Duckworth,Durbin
Federal Emergency Management Agency,Predisaster Mitigation,IL,DuPage County Stormwater Management,Flood Reduction Project,"$225,000.00 ",Durbin,
Federal Emergency Management Agency,Predisaster Mitigation,PA,The Municipal Authority of the City of Sunbury,City of Sunbury Flood Mitigation Project,"$1,000,000.00 ",Fetterman,
Federal Emergency Management Agency,Predisaster Mitigation,PA,Municipal Authority of the Town of Bloomsburg,MATB Wastewater Treatment Plant Flood Mitigation Project.,"$2,205,000.00 ",Fetterman, McCormick
Federal Emergency Management Agency,Predisaster Mitigation,AZ,City of Flagstaff,City of Flagstaff—Fanning Wash Flood Mitigations,"$1,500,000.00 ",Gallego, Kelly
