Agency,Account,State,Recipient,Project, Amount ,Requested by,Requested by 2
Department of Education,Innovation and Improvement, MD,Accokeek Foundation Inc," an environmental education program Including curriculum development, teacher training, classroom support, and field trips for Prince George’s and Charles County students","$425,000 ",Van Hollen,
Department of Education,Innovation and Improvement, MN,Achieve Twin Cities, college and career readiness programs,"$1,500,000 ",Klobuchar, Smith
Department of Education,Innovation and Improvement, MA,Adams Presidential Center and Foundation, civics education,"$900,000 ",Markey, Warren
Department of Education,Innovation and Improvement, PA,African American Museum in Philadelphia," expand education programs for students, including exhibit development","$415,000 ",Fetterman,
Department of Education,Innovation and Improvement, HI,Aha Punana Leo, an early childhood education Hawaiian language immersion program,"$1,252,000 ",Hirono, Schatz
Department of Education,Innovation and Improvement, AK,Alaska Council of School Administrators, teacher professional development,"$200,000 ",Murkowski,
Department of Education,Innovation and Improvement, AK,Alaska Resource Education, a STEM and natural resources education program,"$50,000 ",Murkowski,
Department of Education,Innovation and Improvement, CT,Arts Council of Greater New Haven Inc, youth arts journalism initiative,"$135,000 ",Blumenthal, Murphy
Department of Education,Innovation and Improvement, NY,Asian Americans for Equality Inc, college readiness and youth development programming,"$100,000 ",Gillibrand, Schumer
Department of Education,Innovation and Improvement, MD,Ballet After Dark Inc," a comprehensive program for girls and young women focused on wellness, health education, mentorship, and leadership training","$1,071,000 ",Alsobrooks, Van Hollen
Department of Education,Innovation and Improvement, MD,Baltimore SquashWise, youth development programs,"$200,000 ",Van Hollen,
Department of Education,Innovation and Improvement, NJ,Bayonne School District, high-impact tutoring programs,"$160,000 ",Kim,
Department of Education,Innovation and Improvement, MA,Best Buddies International Inc, establish and deliver community-based inclusion services,"$400,000 ",Markey, Warren
Department of Education,Innovation and Improvement, HI,Big Brothers Big Sisters Hawaii, college and career readiness programs,"$1,000,000 ",Schatz,
Department of Education,Innovation and Improvement, MA,Big Brothers Big Sisters of Eastern Massachusetts," academic assistance, college access support, and vocational training","$250,000 ",Markey, Warren
Department of Education,Innovation and Improvement, RI,Big Brothers Big Sisters of Rhode Island, youth mentoring,"$100,000 ",Reed, Whitehouse
Department of Education,Innovation and Improvement, PA,Big Picture Philadelphia, school-based health and wellness services and nutrition education,"$240,000 ",Fetterman,
Department of Education,Innovation and Improvement, MD,BMORE Community Theatre, a summer arts education program,"$250,000 ",Van Hollen,
Department of Education,Innovation and Improvement, HI,Boys & Girls Club Of Hawaii," a digital literacy initiative, including Artificial Intelligence","$505,000 ",Hirono, Schatz
Department of Education,Innovation and Improvement, GA,Boys & Girls Club of Lanier Inc," improve access to youth programs, which may include the purchase of two vehicles","$190,000 ",Ossoff,
Department of Education,Innovation and Improvement, HI,Boys & Girls Club of the Big Island," expand afterschool, academic support, substance abuse prevention, and nutrition programs","$990,000 ",Hirono,
Department of Education,Innovation and Improvement, RI,Boys & Girls Clubs of Warwick, out-of-school-time youth programming,"$640,000 ",Reed, Whitehouse
Department of Education,Innovation and Improvement, NJ,Boys and Girls Club of Paterson and Passaic," trauma-informed, wrap around support services and out-of-school time programming","$500,000 ",Kim,
Department of Education,Innovation and Improvement, VA,Boys to Men Mentoring Network of Virginia Inc, expand mentoring programs,"$200,000 ",Kaine, Warner
Department of Education,Innovation and Improvement, AK,Bright Lights Book Project, a literacy program,"$30,000 ",Murkowski,
Department of Education,Innovation and Improvement, MA,Brockton Public Schools, a one-to-one laptop computer initiative,"$2,128,000 ",Markey, Warren
Department of Education,Innovation and Improvement, MD,Cal Ripken, STEM education,"$1,000,000 ",Alsobrooks, Van Hollen
Department of Education,Innovation and Improvement, NY,Capital District Jewish Holocaust Memorial, mobile educational programming on the Holocaust,"$600,000 ",Gillibrand,
Department of Education,Innovation and Improvement, HI,Ceeds of Peace, expand the community school model at Hawaii public schools,"$836,000 ",Hirono,
Department of Education,Innovation and Improvement, VT,Center for an Agricultural Economy, educational and curricula purposes of a farm-to-school nutrition program,"$100,000 ",Welch,
Department of Education,Innovation and Improvement, MI,Central Michigan University, distance education technology and in-person instruction related to health career education,"$1,226,000 ",Peters,
Department of Education,Innovation and Improvement, VT,Central Vermont Career Center School District acting on behalf of the Vermont Association of Career and Technical Directors," expand and enhance career and technical education programs, which may include subgrants","$2,498,000 ",Sanders,
Department of Education,Innovation and Improvement, MD,Chesapeake Bay Outward Bound School, an outdoor education program,"$250,000 ",Alsobrooks, Van Hollen
Department of Education,Innovation and Improvement, MS,Children’s Foundation of Mississippi, a project to improve education outcomes,"$500,000 ",Hyde-Smith,
Department of Education,Innovation and Improvement, NY,Citizens Campaign Fund for the Environment, science education and environmental stewardship programs,"$100,000 ",Schumer,
Department of Education,Innovation and Improvement, NJ,City of Newark, a literacy initiative,"$700,000 ",Booker, Kim
Department of Education,Innovation and Improvement, RI,City Year Providence, tutoring and mentoring programs,"$790,000 ",Reed,
Department of Education,Innovation and Improvement, NH,City Year Inc, New Hampshire’s 7–Year Promise program,"$700,000 ",Shaheen,
Department of Education,Innovation and Improvement, HI,Collaborative Support Services, early childhood education programs,"$1,327,000 ",Hirono, Schatz
Department of Education,Innovation and Improvement, RI,College Visions," college access programming, including student stipends","$723,000 ",Reed, Whitehouse
Department of Education,Innovation and Improvement, IL,Collinsville Area Vocational Center, equipment for education program expansion,"$3,000,000 ",Duckworth,
Department of Education,Innovation and Improvement, WA,Communities In Schools of Washington State, improve student wellness,"$925,000 ",Murray,
Department of Education,Innovation and Improvement, CT,Community Health Center Inc," health, nutrition and education programs","$500,000 ",Blumenthal, Murphy
Department of Education,Innovation and Improvement, PA,Concilio de Organizaciones Hispanas—Concilio, youth development and violence prevention programs,"$390,000 ",Fetterman,
Department of Education,Innovation and Improvement, CT,Connecticut Historical Society DBA Connecticut Museum of Culture and History, a civics education program,"$1,000,000 ",Blumenthal, Murphy
Department of Education,Innovation and Improvement, CT,Connecticut Junior Republic Association Inc, school-based behavioral and mental health services,"$1,650,000 ",Blumenthal, Murphy
Department of Education,Innovation and Improvement, CT,Connecticut Public Broadcasting Inc, educational programming,"$1,550,000 ",Blumenthal, Murphy
Department of Education,Innovation and Improvement, HI,Consortium for Hawaii Ecological Engineering Education, education programs of the Kahikina Learning Center,"$417,000 ",Hirono,
Department of Education,Innovation and Improvement, NY,Corning Museum of Glass," STEAM education programs, including bus rental for transportation","$1,000,000 ",Gillibrand, Schumer
Department of Education,Innovation and Improvement, MD,DC Regional Early Learning Center, early childhood education,"$305,000 ",Alsobrooks,
Department of Education,Innovation and Improvement, MS,Delta Health Alliance, improve education outcomes,"$800,000 ",Hyde-Smith, Wicker
Department of Education,Innovation and Improvement, IL,DePaul University, a civic learning initiative,"$720,000 ",Durbin,
Department of Education,Innovation and Improvement, MA,Doc Wayne Youth Services Inc., youth development and mental health services,"$450,000 ",Markey, Warren
Department of Education,Innovation and Improvement, CT,Domestic Violence Crisis Center, youth violence prevention education program,"$124,000 ",Blumenthal, Murphy
Department of Education,Innovation and Improvement, NM,Dual Language Education of New Mexico, professional development programs related to literacy and math education,"$321,000 ",Heinrich,
Department of Education,Innovation and Improvement, AK,Educating for Leadership, improve student safety,"$1,623,000 ",Murkowski,
Department of Education,Innovation and Improvement, WI,Employ Milwaukee," career exploration and youth development programs, including youth stipends","$900,000 ",Baldwin,
Department of Education,Innovation and Improvement, NM,Explora," STEAM education and career awareness, including student stipends","$250,000 ",Heinrich, Lujan
Department of Education,Innovation and Improvement, AK,Fairbanks North Star Borough School District, teacher professional development,"$111,000 ",Murkowski,
Department of Education,Innovation and Improvement, AK,Fairbanks North Star Borough School District, improve student safety,"$300,000 ",Murkowski,
Department of Education,Innovation and Improvement, WI,Families and Schools Together (FAST), after school family engagement programs in Wisconsin,"$500,000 ",Baldwin,
Department of Education,Innovation and Improvement, RI,Farm Fresh Rhode Island, farm to school programming,"$250,000 ",Whitehouse,
Department of Education,Innovation and Improvement, CT,Flagman Inc, traffic safety education in Connecticut schools,"$1,997,000 ",Blumenthal, Murphy
Department of Education,Innovation and Improvement, MS,Forrest County Agricultural High School," the purchase of equipment, technology, and supplies","$700,000 ",Hyde-Smith,
Department of Education,Innovation and Improvement, NY,Fund for the City of New York, educational programming at Floyd Bennett Field,"$800,000 ",Schumer,
Department of Education,Innovation and Improvement, NM,Future Focused Education," youth mental health support, including internships and student stipends","$500,000 ",Heinrich,
Department of Education,Innovation and Improvement, MN,Girls on the Run International, increase access to youth development programming in underservedcommunities,"$500,000 ",Klobuchar, Smith
Department of Education,Innovation and Improvement, GA,Hall County School District, a career pathway program in meat processing,"$1,000,000 ",Warnock,
Department of Education,Innovation and Improvement, WA,Hands on Children’s Museum, exhibits and equipment to improve after school programming for students,"$3,000,000 ",Murray,
Department of Education,Innovation and Improvement, HI,Hawaii Department of Education," an educator workforce development initiative, including student stipends","$1,000,000 ",Schatz,
Department of Education,Innovation and Improvement, NY,Hispanic Federation Inc.," expand mentoring and training programs, which may include subgrants to existing and new partner institutions of higher education","$900,000 ",Gillibrand, Schumer
Department of Education,Innovation and Improvement, NM,Hispano Roundtable of New Mexico, STEAM education,"$500,000 ",Heinrich, Lujan
Department of Education,Innovation and Improvement, NY,Hudson River Museum of Westchester, equipment for STEM education programs,"$500,000 ",Schumer,
Department of Education,Innovation and Improvement, NY,Hudson Valley Shakespeare Festival Inc, out-of-school on-site arts education experiences and arts educational programming,"$534,000 ",Schumer,
Department of Education,Innovation and Improvement, AK,Inupiat Community of the Arctic Slope," a teacher apprenticeship and mentoring program, including instructor stipends","$500,000 ",Murkowski,
Department of Education,Innovation and Improvement, MA,Jacob’s Pillow Dance Festival Inc, an arts education program,"$375,000 ",Markey, Warren
Department of Education,Innovation and Improvement, VA,James City County," expand education and library services, including the purchase of a vehicle for use as a bookmobile","$375,000 ",Kaine, Warner
