Agency,Account,State,Recipient,Project,Amount,Requested by,Requested by 2
Department of Transportation,"Transportation Planning, Research, and Development",KS,Salina Airport Authority,Salina Airport Advanced Aviation & Engineering Research Operations.,"$1,000,000.00 ",Moran,
Department of Transportation,"Transportation Planning, Research, and Development",KY,Elizabethtown Regional Airport (EKX),Runway Reconfiguration Study,"$250,000.00 ",McConnell,
Department of Transportation,"Transportation Planning, Research, and Development",MS,Lee County,Tupelo VHF Omnidirectional Range Relocation.,"$3,000,000.00 ",Hyde-Smith,
Department of Transportation,"Transportation Planning, Research, and Development",MS,Greene County Board of Supervisors,Airport Planning and Development ...,"$500,000.00 ",Hyde-Smith, Wicker
Department of Transportation,"Transportation Planning, Research, and Development",NJ,"East Orange, New Jersey",Freeway Drive Overbuild Planning Project.,"$3,397,000.00 ",Booker,
Department of Transportation,"Transportation Planning, Research, and Development",WA,Puget Sound Regional Council,"Regional Mobility Forecast: Connections to Transportation, Housing and Jobs for the Puget Sound.","$500,000.00 ",Cantwell, Murray
Department of Transportation,"Transportation Planning, Research, and Development",WA,Pacific NorthWest Economic Region,Foundation. Build Northwest Export Accelerator ..,"$1,000,000.00 ",Cantwell, Murray
Department of Transportation,Grants-in-Aid for Airports,AK,Wasilla Airport (IYS),Runway Improvements,"$3,000,000.00 ",Murkowski,
Department of Transportation,Grants-in-Aid for Airports,AL,Perry County Airport/Vaiden Field (A08).,Airport Improvements,"$400,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Evergreen Airport (GZH),Infrastructure Improvements,"$1,000,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Enterprise Airport (EDN),Runway Extension and Refurbishment.,"$2,355,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Mobile Airport (MOB),Airfield Tarmac Improvements,"$3,000,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Chilton County Airport (02A),Runway Extension,"$3,850,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,HL Sonny Callahan Airport (CQF),Airport Improvements,"$500,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Gulf Shores International Airport (GUF).,Airport Safety Improvements,"$150,000.00 ",Britt,
Department of Transportation,Grants-in-Aid for Airports,AL,Montgomery Regional Airport (MGM),Runway Rehabilitation,"$1,145,000.00 ",Britt, Tuberville
Department of Transportation,Grants-in-Aid for Airports,AL,Bessemer Airport (EKY),Aircraft Ramp and Apron Project,"$4,000,000.00 ",Britt, Tuberville
Department of Transportation,Grants-in-Aid for Airports,AR,Fort Smith Regional Airport (FSM) ....,Inclement Weather Storage Building,"$4,100,000.00 ",Boozman,
Department of Transportation,Grants-in-Aid for Airports,HI,Molokai Airport (MKK),Runway and Taxiway Reliability Project.,"$1,000,000.00 ",Hirono, Schatz
Department of Transportation,Grants-in-Aid for Airports,IL,MidAmerica St. Louis Airport (BLV) ..,Federal Inspection Area Upgrades ....,"$4,000,000.00 ",Duckworth,
Department of Transportation,Grants-in-Aid for Airports,KS,Miami County (Paola) Airport (K81),Runway Extension,"$1,800,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KS,Ottawa Municipal Airport (OWI),Taxiway Reconstruction,"$2,613,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KS,Freeman Field Airport (3JC),Runway Rehabilitation,"$4,038,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KS,Topeka Regional Airport/Forbes Field (FOE).,North Apron Rehabilitation,"$5,986,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KS,Kearny County Airport (36K),Runway Expansion,"$11,250,000.00 ",Moran,
Department of Transportation,Grants-in-Aid for Airports,KY,Barkley Regional Airport (PAH),Airfield Lighting Rehabilitation,"$3,100,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,KY,Blue Grass Airport (LEX),Air Traffic Control Tower Relocation Enabling Projects.,"$5,400,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,KY,Cincinnati-Northern Kentucky International Airport (CVG).,Taxiway Reconstruction,"$7,500,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,KY,Elizabethtown Regional Airport (EKX),Runway Reconfiguration,"$9,000,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,KY,Louisville Muhammad Ali Inter-,national Airport (SDF). Federal Inspection Service Facility ...,"$9,600,000.00 ",McConnell,
Department of Transportation,Grants-in-Aid for Airports,LA,Chennault International Airport (CWF).,Hangar and Apron Development Project.,"$1,700,000.00 ",Cassidy, Kennedy
