Name,type,State,District,Party,Approps
Connolly,House,VA,,Democrat,
Adams,House,NC,12,Democrat,
Aderholt,House,AL,4,Republican,Yes
Aguilar,House,CA,33,Democrat,Yes
Alford,House,MO,4,Republican,Yes
Allen,House,GA,12,Republican,
Alsobrooks,Senate,MD,,Democrat,
Amo,House,RI,1,Democrat,
Amodei,House,NV,2,Republican,Yes
Ansari,House,AZ,3,Democrat,
Arrington,House,TX,19,Republican,
Auchincloss,House,MA,4,Democrat,
Babin,House,TX,36,Republican,
Bacon,House,NE,2,Republican,
Baird,House,IN,4,Republican,
Balderson,House,OH,12,Republican,
Baldwin,Senate,WI,,Democrat,Yes
Balint,House,VT,0,Democrat,
Banks,Senate,IN,,Republican,
Barr,House,KY,6,Republican,
Barragan,House,CA,44,Democrat,
Barrasso,Senate,WY,,Republican,
Barrett,House,MI,7,Republican,
Baumgartner,House,WA,5,Republican,
Bean,House,FL,4,Republican,
Beatty,House,OH,3,Democrat,Yes
Begich,House,AK,0,Republican,
Bell,House,MO,1,Democrat,
Bennet,Senate,CO,,Democrat,
Bentz,House,OR,2,Republican,
Bera,House,CA,6,Democrat,
Bergman,House,MI,1,Republican,
Beyer,House,VA,8,Democrat,
Bice,House,OK,5,Republican,Yes
Biggs,House,AZ,5,Republican,
Biggs,House,SC,3,Republican,
Bilirakis,House,FL,12,Republican,
Bishop,House,GA,2,Democrat,Yes
Blackburn,Senate,TN,,Republican,
Blumenthal,Senate,CT,,Democrat,
Blunt Rochester,Senate,DE,,Democrat,
Boebert,House,CO,4,Republican,
Bonamici,House,OR,1,Democrat,
Booker,Senate,NJ,,Democrat,
Boozman,Senate,AR,,Republican,Yes
Bost,House,IL,12,Republican,
Boyle,House,PA,2,Democrat,
Brecheen,House,OK,2,Republican,
Bresnahan,House,PA,8,Republican,
Britt,Senate,AL,,Republican,Yes
Brown,House,OH,11,Democrat,
Brownley,House,CA,26,Democrat,
Buchanan,House,FL,16,Republican,
Budd,Senate,NC,,Republican,
Budzinski,House,IL,13,Democrat,
Burchett,House,TN,2,Republican,
Burlison,House,MO,7,Republican,
Bynum,House,OR,5,Democrat,
Calvert,House,CA,41,Republican,Yes
Cammack,House,FL,3,Republican,
Cantwell,Senate,WA,,Democrat,
Capito,Senate,WV,,Republican,Yes
Carbajal,House,CA,24,Democrat,
Carey,House,OH,15,Republican,
Carson,House,IN,7,Democrat,
Carter,House,TX,31,Republican,Yes
Carter,House,GA,1,Republican,
Carter,House,LA,2,Democrat,
Casar,House,TX,35,Democrat,
Case,House,HI,1,Democrat,Yes
Cassidy,Senate,LA,,Republican,
Casten,House,IL,6,Democrat,
Castor,House,FL,14,Democrat,
Castro,House,TX,20,Democrat,
Cherfilus-McCormick,House,FL,20,Democrat,
Chu,House,CA,28,Democrat,
Ciscomani,House,AZ,6,Republican,Yes
Cisneros,House,CA,31,Democrat,
Clark,House,MA,5,Democrat,
Clarke,House,NY,9,Democrat,
Cleaver,House,MO,5,Democrat,
Cline,House,VA,6,Republican,Yes
Cloud,House,TX,27,Republican,Yes
Clyburn,House,SC,6,Democrat,Yes
Clyde,House,GA,9,Republican,Yes
Cohen,House,TN,9,Democrat,
Cole,House,OK,4,Republican,Yes
Collins,Senate,ME,,Republican,Yes
Collins,House,GA,10,Republican,
Comer,House,KY,1,Republican,
Conaway,House,NJ,3,Democrat,
Coons,Senate,DE,,Democrat,Yes
Cornyn,Senate,TX,,Republican,
Correa,House,CA,46,Democrat,
Cortez Masto,Senate,NV,,Democrat,
Costa,House,CA,21,Democrat,
Cotton,Senate,AR,,Republican,
Courtney,House,CT,2,Democrat,
Craig,House,MN,2,Democrat,
Cramer,Senate,ND,,Republican,
Crane,House,AZ,2,Republican,
Crank,House,CO,5,Republican,
Crapo,Senate,ID,,Republican,
Crawford,House,AR,1,Republican,
Crenshaw,House,TX,2,Republican,
Crockett,House,TX,30,Democrat,
Crow,House,CO,6,Democrat,
Cruz,Senate,TX,,Republican,
Cuellar,House,TX,28,Democrat,Yes
Curtis,Senate,UT,,Republican,
Daines,Senate,MT,,Republican,
Davids,House,KS,3,Democrat,
Davidson,House,OH,8,Republican,
Davis,House,IL,7,Democrat,
Davis,House,NC,1,Democrat,
De La Cruz,House,TX,15,Republican,
Dean,House,PA,4,Democrat,Yes
DeGette,House,CO,1,Democrat,
DeLauro,House,CT,3,Democrat,Yes
DelBene,House,WA,1,Democrat,
Deluzio,House,PA,17,Democrat,
DeSaulnier,House,CA,10,Democrat,
DesJarlais,House,TN,4,Republican,
Dexter,House,OR,3,Democrat,
Diaz-Balart,House,FL,26,Republican,Yes
Dingell,House,MI,6,Democrat,
Doggett,House,TX,37,Democrat,
Donalds,House,FL,19,Republican,
Downing,House,MT,2,Republican,
Duckworth,Senate,IL,,Democrat,
Dunn,House,FL,2,Republican,
Durbin,Senate,IL,,Democrat,Yes
Edwards,House,NC,11,Republican,Yes
Elfreth,House,MD,3,Democrat,
Ellzey,House,TX,6,Republican,Yes
Emmer,House,MN,6,Republican,
Ernst,Senate,IA,,Republican,
Escobar,House,TX,16,Democrat,Yes
Espaillat,House,NY,13,Democrat,Yes
Estes,House,KS,4,Republican,
Evans,House,PA,3,Democrat,
Evans,House,CO,8,Republican,
Ezell,House,MS,4,Republican,
Fallon,House,TX,4,Republican,
Fedorchak,House,ND,0,Republican,
Feenstra,House,IA,4,Republican,
Fetterman,Senate,PA,,Democrat,
Fields,House,LA,6,Democrat,
Figures,House,AL,2,Democrat,
Fine,House,FL,6,Republican,
Finstad,House,MN,1,Republican,
Fischbach,House,MN,7,Republican,
Fischer,Senate,NE,,Republican,Yes
Fitzgerald,House,WI,5,Republican,
Fitzpatrick,House,PA,1,Republican,
Fleischmann,House,TN,3,Republican,Yes
Fletcher,House,TX,7,Democrat,
Flood,House,NE,1,Republican,
Fong,House,CA,20,Republican,
Foster,House,IL,11,Democrat,
Foushee,House,NC,4,Democrat,
Foxx,House,NC,5,Republican,
Frankel,House,FL,22,Democrat,Yes
Franklin,House,FL,18,Republican,Yes
Friedman,House,CA,30,Democrat,
Frost,House,FL,10,Democrat,
Fry,House,SC,7,Republican,
Fulcher,House,ID,1,Republican,
Gallego,Senate,AZ,,Democrat,
Garamendi,House,CA,8,Democrat,
Garbarino,House,NY,2,Republican,
Garcia,House,IL,4,Democrat,
Garcia,House,TX,29,Democrat,
Garcia,House,CA,42,Democrat,
Gill,House,TX,26,Republican,
Gillen,House,NY,4,Democrat,
Gillibrand,Senate,NY,,Democrat,Yes
Gimenez,House,FL,28,Republican,
Gluesenkamp Perez,House,WA,3,Democrat,Yes
Golden,House,ME,2,Democrat,
Goldman,House,NY,10,Democrat,
Goldman,House,TX,12,Republican,
Gomez,House,CA,34,Democrat,
Gonzales,House,TX,23,Republican,Yes
Gonzalez,House,TX,34,Democrat,
Gooden,House,TX,5,Republican,
Goodlander,House,NH,2,Democrat,
Gosar,House,AZ,9,Republican,
Gottheimer,House,NJ,5,Democrat,
Graham,Senate,SC,,Republican,Yes
Grassley,Senate,IA,,Republican,
Graves,House,MO,6,Republican,
Gray,House,CA,13,Democrat,
Green,House,TX,9,Democrat,
Greene,House,GA,14,Republican,
Griffith,House,VA,9,Republican,
Grijalva,House,AZ,7,Democrat,
Grothman,House,WI,6,Republican,
Guest,House,MS,3,Republican,Yes
Guthrie,House,KY,2,Republican,
Hageman,House,WY,0,Republican,
Hagerty,Senate,TN,,Republican,Yes
Hamadeh,House,AZ,8,Republican,
Harder,House,CA,9,Democrat,Yes
Haridopolos,House,FL,8,Republican,
Harrigan,House,NC,10,Republican,
Harris,House,MD,1,Republican,Yes
Harris,House,NC,8,Republican,
Harshbarger,House,TN,1,Republican,
Hassan,Senate,NH,,Democrat,
Hawley,Senate,MO,,Republican,
Hayes,House,CT,5,Democrat,
Heinrich,Senate,NM,,Democrat,Yes
Hern,House,OK,1,Republican,
Hernandez,House,PR,0,Democrat,
Hickenlooper,Senate,CO,,Democrat,
Higgins,House,LA,3,Republican,
Hill,House,AR,2,Republican,
Himes,House,CT,4,Democrat,
Hinson,House,IA,2,Republican,Yes
Hirono,Senate,HI,,Democrat,
Hoeven,Senate,ND,,Republican,Yes
Horsford,House,NV,4,Democrat,
Houchin,House,IN,9,Republican,
Houlahan,House,PA,6,Democrat,
Hoyer,House,MD,5,Democrat,Yes
Hoyle,House,OR,4,Democrat,
Hudson,House,NC,9,Republican,
Huffman,House,CA,2,Democrat,
Huizenga,House,MI,4,Republican,
Hunt,House,TX,38,Republican,
Hurd,House,CO,3,Republican,
Husted,Senate,OH,,Republican,
Hyde-Smith,Senate,MS,,Republican,Yes
Issa,House,CA,48,Republican,
Ivey,House,MD,4,Democrat,Yes
Jack,House,GA,3,Republican,
Jackson,House,TX,13,Republican,
Jackson,House,IL,1,Democrat,
Jacobs,House,CA,51,Democrat,
James,House,MI,10,Republican,
Jayapal,House,WA,7,Democrat,
Jeffries,House,NY,8,Democrat,
Johnson,House,GA,4,Democrat,
Johnson,Senate,WI,,Republican,
Johnson,House,LA,4,Republican,
Johnson,House,SD,0,Republican,
Johnson,House,TX,32,Democrat,
Jordan,House,OH,4,Republican,
Joyce,House,OH,14,Republican,
Joyce,House,PA,13,Republican,
Justice,Senate,WV,,Republican,
